n_hidden_layers,hidden_size,epochs,data_size,loss,training_time
3.0,80.0,50.0,80.0,0.004615520127117634,127.93829703330994
3.0,80.0,50.0,100.0,0.004685678519308567,128.44668841362
3.0,80.0,50.0,120.0,0.0047380090691149235,128.3877031803131
3.0,100.0,50.0,80.0,0.003772513708099723,159.59581995010376
3.0,100.0,50.0,100.0,0.003470413852483034,159.80527687072754
3.0,100.0,50.0,120.0,0.004658466670662165,159.94901752471924
3.0,120.0,50.0,80.0,0.009515036828815937,183.30284023284912
3.0,120.0,50.0,100.0,0.00385991670191288,183.6108968257904
3.0,120.0,50.0,120.0,0.007721325382590294,183.82799649238586
5.0,80.0,50.0,80.0,0.011192329227924347,221.58075761795044
5.0,80.0,50.0,100.0,0.010644135996699333,222.09891963005066
5.0,80.0,50.0,120.0,0.010052239522337914,222.5598955154419
5.0,100.0,50.0,80.0,0.012117220088839531,277.20944023132324
5.0,100.0,50.0,100.0,0.015080014243721962,277.69724678993225
5.0,100.0,50.0,120.0,0.013440972194075584,278.45335268974304
5.0,120.0,50.0,80.0,0.008196227252483368,320.1350393295288
5.0,120.0,50.0,100.0,0.008702028542757034,320.34141087532043
5.0,120.0,50.0,120.0,0.008072747848927975,321.1959533691406
6.0,80.0,50.0,80.0,0.016970759257674217,221.5396819114685
6.0,80.0,50.0,100.0,0.006527294870465994,221.85929679870605
6.0,80.0,50.0,120.0,0.011449785903096199,222.53260588645935
6.0,100.0,50.0,80.0,0.0176614448428154,277.39792132377625
6.0,100.0,50.0,100.0,0.019101819023489952,277.71370935440063
6.0,100.0,50.0,120.0,0.009277093224227428,278.35646891593933
6.0,120.0,50.0,80.0,0.006463761907070875,319.96287727355957
6.0,120.0,50.0,100.0,0.013045793399214745,320.2986960411072
